ENTRADAS:
Dado:FxAJK, Chave :0, OP: 1
Dado:nhKQh, Chave :0, OP: 2
Dado:KPVOD, Chave :0, OP: 3
Dado:dnugf, Chave :0, OP: 4
Dado:XdKuI, Chave :0, OP: 5
Dado:IZdBW, Chave :0, OP: 6
Dado:KvdrU, Chave :0, OP: 7
Dado:VdATR, Chave :0, OP: 8
Dado:qkcaH, Chave :8, OP: 1
Dado:dVZRN, Chave :0, OP: 10
Dado:ndOrk, Chave :0, OP: 11
Dado:NbIUt, Chave :11, OP: 1
Dado:JRgFZ, Chave :3, OP: 10
Dado:BqSxv, Chave :13, OP: 1
Dado:lVBjw, Chave :7, OP: 8
Dado:ddouI, Chave :0, OP: 16
Dado:hKnnH, Chave :0, OP: 17
Dado:OPdvJ, Chave :0, OP: 18
Dado:dxWQF, Chave :0, OP: 19
Dado:GvZwv, Chave :19, OP: 1
Dado:QFdkP, Chave :0, OP: 21
Dado:KUXub, Chave :0, OP: 22
Dado:IxKrs, Chave :0, OP: 23
Dado:XGqWJ, Chave :23, OP: 1
Dado:JBVdb, Chave :23, OP: 2
Dado:tlliw, Chave :23, OP: 3
Dado:TNWsb, Chave :23, OP: 4
Dado:rcbDS, Chave :27, OP: 1
Dado:mkSjW, Chave :28, OP: 1
Dado:kABKh, Chave :29, OP: 1
Dado:uSyQd, Chave :30, OP: 1
Dado:pLVhE, Chave :31, OP: 1
Dado:pRbLo, Chave :31, OP: 2
Dado:PQKyi, Chave :0, OP: 34
Dado:dFAfh, Chave :0, OP: 35
Dado:MtImw, Chave :35, OP: 1
Dado:PnKdy, Chave :0, OP: 37
Dado:CMRFN, Chave :37, OP: 1
Dado:dNdpR, Chave :0, OP: 39
Dado:nllVF, Chave :39, OP: 1
Dado:FtuVF, Chave :39, OP: 2
Dado:XusND, Chave :39, OP: 3
Dado:coWyV, Chave :42, OP: 1
Dado:YuPua, Chave :39, OP: 5
Dado:tCFQI, Chave :39, OP: 6
Dado:jOSZG, Chave :41, OP: 5
Dado:ExvKg, Chave :39, OP: 8
Dado:uvlvX, Chave :47, OP: 1
Dado:gLtva, Chave :47, OP: 2
Dado:UvDYj, Chave :39, OP: 11
Dado:XUINv, Chave :39, OP: 12
Dado:OkTlo, Chave :51, OP: 1
Dado:CYkiQ, Chave :40, OP: 13
Dado:ntOqj, Chave :39, OP: 15
Dado:PnZWK, Chave :0, OP: 55
Dado:JLEVi, Chave :55, OP: 1
Dado:MFMnS, Chave :29, OP: 28
Dado:vEcax, Chave :57, OP: 1
Dado:Moaic, Chave :58, OP: 1
Dado:oLUVY, Chave :59, OP: 1
Dado:wRFTM, Chave :59, OP: 2
Dado:aJOCU, Chave :61, OP: 1
Dado:tiuqe, Chave :59, OP: 4
Dado:aTDlV, Chave :63, OP: 1
Dado:AQyLL, Chave :64, OP: 1
Dado:emvdm, Chave :61, OP: 5
Dado:Tpluw, Chave :63, OP: 4
Dado:WDkYQ, Chave :11, OP: 57
Dado:IIIFY, Chave :16, OP: 53
Dado:anyvG, Chave :69, OP: 1
Dado:jUkAn, Chave :69, OP: 2
Dado:ynGGj, Chave :9, OP: 63
Dado:qNVOp, Chave :3, OP: 70
Dado:GRCvN, Chave :73, OP: 1
Dado:yyKTX, Chave :74, OP: 1
Dado:wavkG, Chave :73, OP: 3
Dado:GouRH, Chave :76, OP: 1
Dado:OWVuk, Chave :77, OP: 1
Dado:OOKkr, Chave :74, OP: 5
Dado:JFjUa, Chave :79, OP: 1
Dado:JDAFv, Chave :79, OP: 2
Dado:uYrOq, Chave :81, OP: 1
Dado:XsmKG, Chave :79, OP: 4
Dado:ZBRpc, Chave :79, OP: 5
Dado:ruYZB, Chave :81, OP: 4
Dado:pOUik, Chave :79, OP: 7
Dado:kktci, Chave :83, OP: 4
Dado:cNhMK, Chave :87, OP: 1
Dado:Ptood, Chave :79, OP: 10
Dado:dgxmj, Chave :0, OP: 90
Dado:wQETn, Chave :90, OP: 1
Dado:GGcRJ, Chave :58, OP: 34
Dado:jPdQQ, Chave :0, OP: 93
Dado:jukRy, Chave :13, OP: 81
Dado:uUGMR, Chave :94, OP: 1
Dado:RNLGi, Chave :95, OP: 1
Dado:xeTrP, Chave :79, OP: 18
Dado:coRQH, Chave :97, OP: 1
Dado:YwNTP, Chave :97, OP: 2
Dado:TkKyt, Chave :99, OP: 1
Dado:FngEH, Chave :99, OP: 2
Dado:ICdXO, Chave :99, OP: 3
Dado:cOdlv, Chave :99, OP: 4
Dado:KItyy, Chave :99, OP: 5
Dado:tAAkL, Chave :99, OP: 6
Dado:BZsYC, Chave :99, OP: 7
Dado:LqmLf, Chave :91, OP: 16
Dado:BWUDV, Chave :69, OP: 39
Dado:woeWB, Chave :108, OP: 1
Dado:bUCrK, Chave :109, OP: 1
Dado:llnnh, Chave :39, OP: 72
Dado:vXDrd, Chave :111, OP: 1
Dado:FybBi, Chave :59, OP: 54
Dado:fgcuC, Chave :93, OP: 21
Dado:CqAHD, Chave :114, OP: 1
Dado:uoDeK, Chave :115, OP: 1
Dado:RGNSV, Chave :115, OP: 2
Dado:DOykM, Chave :11, OP: 107
Dado:ojsjh, Chave :89, OP: 30
Dado:mHATK, Chave :119, OP: 1
Dado:xlHRG, Chave :119, OP: 2
Dado:PcVdS, Chave :119, OP: 3
Dado:GTPKn, Chave :119, OP: 4
Dado:HPpfH, Chave :119, OP: 5
Dado:lDixI, Chave :119, OP: 6
Dado:nBpwW, Chave :119, OP: 7
Dado:DEneK, Chave :119, OP: 8
Dado:CyhoP, Chave :127, OP: 1
Dado:VhWcu, Chave :127, OP: 2
Dado:IAJoK, Chave :129, OP: 1
Dado:BAaoL, Chave :129, OP: 2
Dado:IykZS, Chave :130, OP: 2
Dado:iabdG, Chave :129, OP: 4
Dado:UjqGQ, Chave :129, OP: 5
Dado:fgiDf, Chave :129, OP: 6
Dado:iBTMX, Chave :119, OP: 17
Dado:VqJhW, Chave :131, OP: 6
Dado:TAbNJ, Chave :79, OP: 59
Dado:gdxxj, Chave :0, OP: 139
Dado:ErowS, Chave :125, OP: 15
Dado:SiiCB, Chave :74, OP: 67
Dado:YobFG, Chave :141, OP: 1
Dado:jvIFF, Chave :83, OP: 60
Dado:kJlOK, Chave :143, OP: 1
Dado:rlWaw, Chave :143, OP: 2
Dado:UvflC, Chave :59, OP: 87
Dado:qcQBa, Chave :146, OP: 1
Dado:kTGHN, Chave :147, OP: 1
Dado:Unghc, Chave :49, OP: 100
Dado:AifmM, Chave :149, OP: 1
Dado:UoZkI, Chave :149, OP: 2
Dado:CHIIb, Chave :151, OP: 1
Dado:VkKSs, Chave :149, OP: 4
Dado:nyAQE, Chave :149, OP: 5
Dado:FfAGD, Chave :99, OP: 56
Dado:xdBhQ, Chave :0, OP: 156
Dado:lCbpF, Chave :127, OP: 30
Dado:oIXMV, Chave :63, OP: 95
Dado:SdCiT, Chave :99, OP: 60
Dado:rZtmo, Chave :159, OP: 1
Dado:nXWEC, Chave :159, OP: 2
Dado:VTZZZ, Chave :159, OP: 3
Dado:NXAgO, Chave :159, OP: 4
Dado:YBVyB, Chave :163, OP: 1
Dado:ieIOw, Chave :164, OP: 1
Dado:AEYvn, Chave :164, OP: 2
Dado:VYBUu, Chave :163, OP: 4
Dado:puukG, Chave :167, OP: 1
Dado:RlghU, Chave :167, OP: 2
Dado:ZGgvh, Chave :169, OP: 1
Dado:IZQdg, Chave :169, OP: 2
Dado:hrnKu, Chave :159, OP: 13
Dado:mTgii, Chave :67, OP: 106
Dado:cuCPF, Chave :60, OP: 114
Dado:UACmB, Chave :174, OP: 1
Dado:vXYba, Chave :175, OP: 1
Dado:AIJah, Chave :129, OP: 48
Dado:SpbCA, Chave :7, OP: 171
Dado:lqgrs, Chave :11, OP: 168
Dado:iMlCD, Chave :179, OP: 1
Dado:ynNVY, Chave :179, OP: 2
Dado:odykA, Chave :99, OP: 83
Dado:yEVfK, Chave :13, OP: 170
Dado:qHwlD, Chave :183, OP: 1
Dado:mpIiZ, Chave :183, OP: 2
Dado:QcsKj, Chave :184, OP: 2
Dado:TcIkE, Chave :67, OP: 120
Dado:kdngB, Chave :0, OP: 188
Dado:OqkWK, Chave :188, OP: 1
Dado:xSILq, Chave :79, OP: 111
Dado:XMTes, Chave :183, OP: 8
Dado:XfuiR, Chave :191, OP: 1
Dado:JGWYh, Chave :97, OP: 96
Dado:AnWGX, Chave :49, OP: 145
Dado:NYBpY, Chave :171, OP: 24
Dado:pljeh, Chave :175, OP: 21
Dado:MurJi, Chave :25, OP: 172
Dado:jILPJ, Chave :87, OP: 111
Dado:GTmNk, Chave :75, OP: 124
Dado:PxHQI, Chave :199, OP: 1
Dado:PxaVG, Chave :199, OP: 2
Dado:LudXK, Chave :199, OP: 3
Dado:UrPaF, Chave :199, OP: 4
Dado:WjRXh, Chave :203, OP: 1
Dado:PZBne, Chave :199, OP: 6
Dado:gJdCh, Chave :199, OP: 7
Dado:djREl, Chave :199, OP: 8
Dado:TkBMM, Chave :207, OP: 1
Dado:sZHtL, Chave :199, OP: 10
Dado:NUCPn, Chave :209, OP: 1
Dado:XpDlm, Chave :207, OP: 4
Dado:hHBHl, Chave :207, OP: 5
Dado:VerLM, Chave :203, OP: 10
Dado:wfguM, Chave :213, OP: 1
Dado:aUkwv, Chave :214, OP: 1
Dado:LBLZt, Chave :215, OP: 1
Dado:OCEnG, Chave :216, OP: 1
Dado:EofnY, Chave :217, OP: 1
Dado:NCtWi, Chave :215, OP: 4
Dado:ivbFI, Chave :219, OP: 1
Dado:bZyXb, Chave :219, OP: 2
Dado:MdtOp, Chave :199, OP: 23
Dado:DBkkV, Chave :215, OP: 8
Dado:XoDIX, Chave :223, OP: 1
Dado:QRHBu, Chave :223, OP: 2
Dado:gXBcB, Chave :223, OP: 3
Dado:pBHUU, Chave :223, OP: 4
Dado:YEljA, Chave :227, OP: 1
Dado:DoXsA, Chave :223, OP: 6
Dado:Biote, Chave :229, OP: 1
Dado:TUIXN, Chave :219, OP: 12
Dado:YHOdq, Chave :231, OP: 1
Dado:THmBe, Chave :231, OP: 2
